Serial Number,Title,Publication Year,Author/Organization,Link,PDF Title,"Review (1 = Updated on sheet, 2 = Found on Drive but not on sheet; 3 = Did not find on Drive)"
836,"BEIRUT RESIDENTS’ PERSPECTIVES
ON AUGUST 4 BLAST
FINDINGS FROM A NEEDS
AND PERCEPTION SURVEY
",2020,World Bank,https://documents1.worldbank.org/curated/en/614701601050157843/pdf/Brief.pdf,"BEIRUT RESIDENTS’ PERSPECTIVES ON AUGUST 4 BLAST - FINDINGS FROM A NEEDS AND PERCEPTION SURVEY",
837,Mind Over Matter in the Philippines: A Study of Key Stakeholders' Perceptions of Childhood Stunting,2020,World Bank,https://openknowledge.worldbank.org/server/api/core/bitstreams/feea0e7f-9096-59f9-ac99-ddad108f9bba/content,Mind Over Matter in the Philippines- A Study of Key Stakeholders' Perceptions of Childhood Stunting,
838,"The Relationship between Conflicts, Economic Shocks, and Death with Depression, Economic Activities, and Human Capital Investment in Nigeria (English)",2018,World Bank,https://documents1.worldbank.org/curated/en/647701545257537283/pdf/The-Relationship-between-Conflicts-Economic-Shocks-and-Death-with-Depression-Economic-Activities-and-Human-Capital-Investment-in-Nigeria.pdf,"The Relationship between Conflicts, Economic Shocks, and Death with Depression, Economic Activities, and Human Capital Investment in Nigeria (English)",
839,Measuring Food Consumed Away from Home in Vietnam,2018,World Bank,https://documents1.worldbank.org/curated/en/327581542117329428/pdf/132002-BRI-PUBLIC-ADD-SERIES-eMBeD-Vietnam-FAFH.pdf,Measuring Food Consumed Away from Home in Vietnam,
840,Poverty Measurement in the Era of Food Away from Home,2019,World Bank,https://documents1.worldbank.org/curated/en/670481546954395456/pdf/WPS8692.pdf,Poverty Measurement in the Era of Food Away from Home,
841,A Light-Touch Method to Improve Accurate Reporting of IDP’s Food Consumption (English),2018,World Bank,https://documents1.worldbank.org/curated/en/335911533559402425/pdf/A-Light-Touch-Method-to-Improve-Accurate-Reporting-of-IDP-s-Food-Consumption.pdf,A Light-Touch Method to Improve Accurate Reporting of IDP’s Food Consumption (English),
842,Nigeria - Priming Brief (English),2018,World Bank,https://documents1.worldbank.org/curated/en/336681516878970950/pdf/122975-eMBeD-Nigeria-Priming-Brief.pdf,Nigeria - Priming Brief (English),
843,Social Multipliers at Work : Improving Children’s Outcomes Through Aspirations and Role Models (English),2018,World Bank,https://documents1.worldbank.org/curated/en/573781516874254400/pdf/122972-eMBeD-Brief-Rising-Aspirations-in-Nicaragua.pdf,Social Multipliers at Work - Improving Children’s Outcomes Through Aspirations and Role Models (English),
844,"Overcoming
behavioral obstacles
to escaping poverty",2017,World Bank,https://documents1.worldbank.org/curated/en/535211507029479808/pdf/Overcoming-behavioral-obstacles-to-escaping-poverty.pdf,Overcoming behavioral obstacles to escaping poverty,
845,Reducing crime and violence : experimental evidence on adult noncognitive investments in Liberia (English),2016,World Bank,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/498691467993513097/reducing-crime-and-violence-experimental-evidence-on-adult-noncognitive-investments-in-liberia,Reducing crime and violence - experimental evidence on adult noncognitive investments in Liberia (English),
846,"Urban Design, Public Spaces, and Social Cohesion",2020,World Bank,https://documents1.worldbank.org/curated/en/845321600708199915/pdf/Urban-Design-Public-Spaces-and-Social-Cohesion-Evidence-from-a-Virtual-Reality-Experiment.pdf,"Urban Design, Public Spaces, and Social Cohesion",
847,"Can
 public spaces
bring societies
together?",2020,World Bank,https://documents1.worldbank.org/curated/en/562371607605188452/pdf/Can-Public-Spaces-Bring-Societies-Together.pdf,Can public spaces bring societies together,
848,Behavioral Strategies to Support Social Stability in Lebanon (English),2019,World Bank,https://documents1.worldbank.org/curated/en/330301557124919303/pdf/Behavioral-Strategies-to-Support-Social-Stability-in-Lebanon.pdf,Behavioral Strategies to Support Social Stability in Lebanon (English),
849,The Whys of Social Exclusion,2017,World Bank,https://documents1.worldbank.org/curated/en/637511513001943873/pdf/WPS8267.pdf,The Whys of Social Exclusion,
850,"Socio-Emotional Drivers of Youth
Unemployment: The Case of Higher Educated
Youth in Sudan",2022,World Bank,https://documents1.worldbank.org/curated/en/099635107272227656/pdf/P174168030d47d06f0ad73085e930c830eb.pdf,Socio-Emotional Drivers of Youth Unemployment - The Case of Higher Educated Youth in Sudan,
851,Supporting Job Search for Mauritian Youth with Little Education (English),2020,World Bank,https://documents1.worldbank.org/curated/en/609731596522586599/pdf/Supporting-Job-Search-for-Mauritian-Youth-with-Little-Education.pdf,Supporting Job Search for Mauritian Youth with Little Education (English),
852,Increasing Service Uptake for Unemployed Youth in Argentina (English),2020,World Bank,https://documents1.worldbank.org/curated/en/434731587535923646/pdf/Increasing-Service-Uptake-for-Unemployed-Youth-in-Argentina.pdf,Increasing Service Uptake for Unemployed Youth in Argentina (English),
853,"Learning modules for vulnerable young female students in Argentina fostered skill growth, promoted more equitable attitudes about gender roles, educational enrollment anduse of health services.
",2020,World Bank,https://documents1.worldbank.org/curated/en/736721587534719829/pdf/Fostering-Skills-for-Young-Women-in-Argentina.pdf,"Learning modules for vulnerable young female students in Argentina fostered skill growth, promoted more equitable attitudes about gender roles, educational enrollment anduse of health services.",
854,"Including socioemotional skill signals in CVs increases interview invitations only if the skill is solicited in the vacancy text, and reduces interview invitations for women when the skill is unsolicited. ",2019,World Bank,https://documents1.worldbank.org/curated/en/655241557246636000/pdf/Looking-at-Gender-and-Socio-Emotional-Skills-Signaling-in-Turkey.pdf,"Including socioemotional skill signals in CVs increases interview invitations only if the skill is solicited in the vacancy text, and reduces interview invitations for women when the skill is unsolicited. ",
855,"A pilot intervention
in the Maldives
shows the power of
an aspiration-raising,
stereotype-breaking
workshop on girl’s
expectations about
their future, and that
of their parents.",2019,World Bank,https://documents1.worldbank.org/curated/en/804051557246387602/pdf/Changing-Aspirations-and-Stereotypes-in-the-Maldives.pdf,"A pilot intervention in the Maldives shows the power of an aspiration-raising, stereotype-breaking workshop on girl’s expectations about their future, and that of their parents.",
856,Why gearing towards net zero with low carbon lifestyles is crucial,2022,"CSBC, Vikrom Mathur",https://www.firstpost.com/opinion-news-expert-views-news-analysis-firstpost-viewpoint/why-gearing-towards-net-zero-with-low-carbon-lifestyles-is-crucial-11465431.html,Why gearing towards net zero with low carbon lifestyles is crucial,
857,We need to bust myths and biases towards electric vehicles,2022,"CSBC, Ashali Bhandari",https://www.moneycontrol.com/news/opinion/world-ev-day-we-need-to-bust-myths-and-biases-towards-electric-vehicles-9146731.html,World EV Day We need to bust myths and biases towards electric vehicles,
858,Co-owning Care Work: Policy for Parity,2022,"CSBC, Rangoli Gupta, Anuradha Das Mathur, Kanika Jain",https://gpj.hkspublications.org/2022/06/20/co-owning-care-work-policy-for-parity/,Co-owning Care Work_ Policy for Parity – Gender Policy Journal,
859,How vaccine fatigue in Uttar Pradesh could be addressed with Behavioural Science,2021,"CSBC, Gautam Patel, Simran Saraf","https://scroll.in/article/1013100/how-vaccine-fatigue-in-uttar-pradesh-could-be-addressed-with-behavioural-science

",How vaccine fatigue in Uttar Pradesh could be addressed with Behavioural Science,
860,"Power of narratives to seed change, and their growing relevance in a post-COVID world",2021,"CSBC, Pavan Mamidi,
Saksham Singh",https://www.firstpost.com/india/power-of-narratives-to-seed-change-and-their-growing-relevance-in-a-post-covid-world-10022841.html,"Power of narratives to seed change, and their growing relevance in a post-COVID world",
861,"Anemia Crisis: Exhausted women, sluggish economy",2020,"CSBC, Nishtha Tewari",https://femoai.com/anaemia-crisis-exhausted-women-sluggish-economy/,"Anaemia Crisis_ Exhausted women, sluggish economy - FEMOAI",
862,Using behavioural science to retune public health,2020,"CSBC, Aditya Laumas,
Saksham Singh",https://www.cnbctv18.com/views/covid19-in-india-using-behavioural-science-to-retune-public-health-6119021.htm,Using behavioural science to retune public health,
863,Why Behavioral Design is our future?,2022,Julie O'Brien,https://bootcamp.uxdesign.cc/why-behavioral-design-is-our-future-5feb21e06e5a,Why Behavioral Design is our future _ by Julie O'Brien _ Bootcamp,
864,Can Information Design x Data Humanism Change Health Seeking Behaviour In Women?,2020,"Tinker Labs, Simran Toor",https://medium.com/tinkershare/can-information-design-x-data-humanism-change-health-seeking-behaviour-in-women-93bed13f2bb2,Can Information Design x Data Humanism Change Health Seeking Behaviour In Women_ _ by Simran Toor _ TinkerShare _ Medium,
865,When attempting to change behaviour: Motivation is temporary. Ability is permanent.,2020,"Tinker Labs, Pratyush Pillai",https://medium.com/tinkershare/when-attempting-to-change-behaviour-motivation-is-temporary-ability-is-permanent-c1fd5afe0990,When attempting to change behaviour_ Motivation is temporary. Ability is permanent. _ by Pratyush Pillai _ TinkerShare _ Medium,
866,"Better Value in Health Care Requires Focusing on Outcomes
",2015,"Caleb Stowell, MD and Christina Akerman, MD",https://hbr.org/2015/09/better-value-in-health-care-requires-focusing-on-outcomes,Better Value in Health Care Requires Focusing on Outcomes,
867,The future of behavioral health: Innovating across sectors to address the global crisis,2021,"Deloitte, David Rabinowitz, Matthew Piltch, Olga Karlinskaya",https://www2.deloitte.com/us/en/insights/industry/health-care/future-of-behavioral-health.html,The future of behavioral healthInnovating across sectors to address the global crisis,
868,Nudging for good: Using behavioral science to improve government outcomes,2020,"Shrupti Shah, John O'Leary, Jim Guszcza, Jane Howe",https://www2.deloitte.com/us/en/insights/industry/public-sector/government-trends/2020/government-nudge-thinking.html,Nudging for goodUsing behavioral science to improve government outcomes,
869,Using behavioral science to improve the customer experience,2010,"McKinsey, John Devine, Keith Gilson",https://www.mckinsey.com/capabilities/operations/our-insights/using-behavioral-science-to-improve-the-customer-experience,Using behavioral science to improve the customer experience _ McKinsey,
870,Social norm strategies do work – but there are risks involved,2011,Adam Corner,https://www.theguardian.com/sustainable-business/social-norm-behaviour-change,Social norm strategies do work – but there are risks involved _ Guardian sustainable business _ The Guardian,
871,Equitable Health Care Requires Inclusive Language,2022,Nkem Chukwumerije,https://hbr.org/2022/07/equitable-health-care-requires-inclusive-language,Equitable Health Care Requires Inclusive Language,
872,A Framework for Designing Excellent Virtual Health Care,2022,"Anaeze C Offodile II, Leonard L. Berry, Manjit S Yadav, Rebecca L Kaul",https://hbr.org/2022/04/a-framework-for-designing-excellent-virtual-health-care,A Framework for Designing Excellent Virtual Health Care,
873,"Health Incentives Might Work Better When They’re Framed in Terms of Losse
",2022,"Eva McCarthy
",https://thedecisionlab.com/insights/health/health-incentives-might-work-better-when-theyre-framed-in-terms-of-losses,Health Incentives Might Work Better When They’re Framed in Terms of Losses - The Decision Lab1,
874,"Ready, Set, Track: How Gamification Can Help Us Build Healthier Habits
",2022,Rachel Donnison,https://thedecisionlab.com/insights/health/ready-set-track-how-gamification-can-help-us-build-healthier-habits,"Ready, Set, Track_ How Gamification Can Help Us Build Healthier Habits - The Decision Lab",
875,"How to Use Social Media as a Vehicle for Accurate Health Information
",2022,"Sekoul Krastev
Lindsey Turk",https://thedecisionlab.com/insights/health/how-to-use-social-media-as-a-vehicle-for-accurate-health-information,How to Use Social Media as a Vehicle for Accurate Health Information - The Decision Lab,
876,"Design is becoming behavioral: here’s how to ethically implement gamification ",2022,"Janessa Pong
Dan Pilat
Sarah Chudleigh",https://thedecisionlab.com/insights/technology/design-is-becoming-behavioral-heres-how-to-ethically-implement-gamification,Design is becoming behavioral_ here’s how to ethically implement gamification - The Decision Lab,
877,"Op-ed: Complacency and behavioral change in the era of the Coronavirus
",2020,Benyam Worku,https://addisstandard.com/op-ed-complacency-and-behavioral-change-in-the-era-of-the-coronavirus/,Op-ed_ Complacency and behavioral change in the era of the Coronavirus - Addis Standard,
878,“Behavioral Science in the Wild” shows organizations how to apply research findings in the business world,2023,James Ritchie,https://www.bizjournals.com/boston/news/2023/04/13/science-book-applies-research-findings-to-business.html,“Behavioral Science in the Wild” shows organizations how to apply research findings in the business world - Boston Business Journal,
879,"Six Prescriptions for Building Healthy Behavioral Insights Units
",2023,Dilip Soman and Bing Feng,https://behavioralscientist.org/six-prescriptions-for-building-healthy-behavioral-insights-units/,Six Prescriptions for Building Healthy Behavioral Insights Units - By Dilip Soman & Bing Feng - Behavioral Scientist,
880,Do Behavioral Nudges Work on Organizations?,2021,"Nina Mažar, Nicole Robitaille, and Julian House",https://hbr.org/2021/02/do-behavioral-nudges-work-on-organizations?ab=hero-subleft-2,Do Behavioral Nudges Work on Organizations,
881,"The Real Opportunities for Empowering People through Behavioral Science",2023,"Michael Hallsworth",https://behavioralscientist.org/the-real-opportunities-for-empowering-people-through-behavioral-science/,The Real Opportunities for Empowering People through Behavioral Science - By Michael Hallsworth - Behavioral Scientist,
882,"What We Gain from More Behavioral Science in the Global South",2023,"By Pauline Kabitsis and Lydia Trupe
",https://behavioralscientist.org/what-we-gain-from-more-behavioral-science-in-the-global-south/,What We Gain from More Behavioral Science in the Global South - Pauline Kabitsis and Lydia Trupe - Behavioral Scientist,
883,"To Make Progress on Climate Action, Pop ‘Normative Bubbles’",2023,"By Brett Jenks",https://behavioralscientist.org/to-make-progress-on-climate-action-pop-normative-bubbles/,"To Make Progress on Climate Action, Pop ‘Normative Bubbles’ - By Brett Jenks - Behavioral Scientist",
884,"Mental Models to Help You Cut Your Losses
",2022,"By Annie Duke
",https://behavioralscientist.org/annie-duke-quit-mental-models-to-help-you-cut-your-losses/,Mental Models to Help You Cut Your Losses - By Annie Duke - Behavioral Scientist,
885,"An In-The-Box Method for Creative Problem Solving
",2022,"By Sam Tatam
",https://behavioralscientist.org/an-in-the-box-method-to-creative-problem-solving/,An In-The-Box Method for Creative Problem Solving - Behavioral Scientist,
886,"Customer Segmentation Needs a Behaviorally Informed Upgrade
",2022,"By Dilip Soman and Kayln Kwan
",https://behavioralscientist.org/why-customer-segmentation-needs-a-behaviorally-informed-upgrade/,Customer Segmentation Needs a Behaviorally Informed Upgrade - By Dilip Soman _ Kayln Kwan - Behavioral Scientist,
887,"Realistic Reasons to be Bullish on Nudging
",2022,"By Ed Bradon
",https://behavioralscientist.org/realistic-reasons-to-be-bullish-on-nudging/,Realistic Reasons to be Bullish on Nudging - by Ed Bradon - Behavioral Scientist,
888,"Research Lead: Is Equality Zero-Sum, The Norm of Self-Interest, Failing Better, and More
",2022,"By Heather Graci and Evan Nesterak
",https://behavioralscientist.org/research-lead-is-equality-zero-sum-the-norm-of-self-interest-failing-better-and-more/,"Research Lead_ Is Equality Zero-Sum, The Norm of Self-Interest, Failing Better, and More - Heather Graci & Evan Nesterak - Behavioral Scientist",
889,"Building the Behavior Change Toolkit: Designing and Testing a Nudge and a Boost
",2021,"By Henrico van Roekel, Joanne Reinhard, and Stephan Grimmelikhuijsen",https://behavioralscientist.org/building-the-behavior-change-toolkit-designing-and-testing-a-nudge-and-a-boost/,"Building the Behavior Change Toolkit_ Designing and Testing a Nudge and a Boost - By Henrico van Roekel, Joanne Reinhard, _ Stephen Grimmelikhuijsen - Behavioral Scientist",
890,"Five Takeaways from Our Conversation with Richard Thaler about the Past, Present, and Future of Nudge
",2021,"By Evan Nesterak
",https://behavioralscientist.org/five-takeaways-from-our-conversation-with-richard-thaler-about-the-past-present-and-future-of-nudge/,"Five Takeaways from Our Conversation with Richard Thaler about the Past, Present, and Future of Nudge - Evan Nesterak - Behavioral Scientist",
891,"A Conversation with Daniel Kahneman About “Noise”
",2021,"By Evan Nesterak",https://behavioralscientist.org/a-conversation-with-daniel-kahneman-about-noise/,A Conversation with Daniel Kahneman About “Noise” - By Evan Nesterak - Behavioral Scientist,
892,"How Cape Town Used Behavioral Science to Beat Its Water Crisis
",2020,"By Ammaarah Martinus and Faisal Naru",https://behavioralscientist.org/how-cape-town-used-behavioral-science-to-beat-its-water-crisis/,How Cape Town Used Behavioral Science to Beat Its Water Crisis - By Ammaarah Martinus _ Faisal Naru - Behavioral Scientist,
893,"Creating Citizen Choice Architects",2020,"By Ralph Hertwig and Samuli Reijula
",https://behavioralscientist.org/creating-citizen-choice-architects/,Creating Citizen Choice Architects - By Ralph Hertwig _ Samuli Reijula - Behavioral Scientist,
894,"The Future of Behavioral Insights Demands Human-Centered Design
",2020,"By Michael Hallsworth and Elspeth Kirkman
",https://behavioralscientist.org/the-future-of-behavioral-insights-demands-human-centered-design/,The Future of Behavioral Insights Demands Human-Centered Design - By Michael Hallsworth & Elspeth Kirkman - Behavioral Scientist,
895,Why Triggering Emotions Won’t Lead to Lasting Behavior Change,2020,Christina Gravert,https://behavioralscientist.org/why-triggering-emotions-wont-lead-to-lasting-behavior-change/,Why Triggering Emotions Won't Lead to Lasting Behavior Change - Behavioral Scientist,
895,Why Triggering Emotions Won’t Lead to Lasting Behavior Change,2020,Christina Gravert,https://behavioralscientist.org/why-triggering-emotions-wont-lead-to-lasting-behavior-change/,Why Triggering Emotions Won_t Lead to Lasting Behavior Change - Behavioral Scientist,
896,"To Achieve Sustainability, We Need to Go Upstream in the Design Process",2020,Michaela Barnett,https://behavioralscientist.org/to-achieve-sustainability-we-need-to-go-upstream-in-the-design-process/,"To Achieve Sustainability, We Need to Go Upstream in the Design Process - By Michaela Barnett - Behavioral Scientist",
897,Handwashing Can Stop a Virus—So Why Don’t We Do It?,2020,Michael Hallsworth,https://behavioralscientist.org/handwashing-can-stop-a-virus-so-why-dont-we-do-it-coronavirus-covid-19/,Handwashing Can Stop a Virus—So Why Don’t We Do It_ - By Michael Hallsworth - Behavioral Scientist,
898,"Context Matters for Nudgers, Too: A Lesson from One of the Most Diverse Countries on Earth",2020,Anirudh Tagat and Hansika Kapoor,https://behavioralscientist.org/context-matters-for-nudgers-too-a-lesson-from-india/,"Context Matters for Nudgers, Too_ A Lesson from One of the Most Diverse Countries on Earth - By Anirudh Tagat _ Hansika Kapoor - Behavioral Scientist",
899,Climate Change and Our Emerging Cultural Shift,2019,Andrew J. Hoffman,https://behavioralscientist.org/climate-change-and-our-emerging-cultural-shift/,Climate Change and Our Emerging Cultural Shift - Behavioral Scientist,
900,Saving Lives By Closing the Intention-Action Gap,2019,Crawford Hollingworth and Liz Barker,https://behavioralscientist.org/saving-lives-by-closing-the-intention-action-gap/,Saving Lives By Closing the Intention-Action Gap - Behavioral Scientist,
901,One Size Doesn’t Have to Fit All,2019,Kun Zhao and Luke Smillie,https://behavioralscientist.org/one-size-doesnt-have-to-fit-all/,One Size Doesn’t Have to Fit All - Behavioral Scientist,
902,Broadening the Nature of Behavioral Design,2019,Ruth Schmidt,https://behavioralscientist.org/broadening-the-nature-of-behavioral-design/,Broadening the Nature of Behavioral Design - Behavioral Scientist,
903,No One’s Perfect: How to Advocate for Climate Conservation Anyway,2018,Shahzeen Attari,https://behavioralscientist.org/no-ones-perfect-how-to-advocate-for-climate-conservation-anyway/,No One's Perfect_ How to Advocate for Climate Conservation Anyway - Behavioral Scientist,
904,Can “Nudge Units” Help Build Better Health Systems?,2018,Mitesh Patel and Ted Robertson,https://behavioralscientist.org/can-nudge-units-help-build-better-health-systems/,Can _Nudge Units_ Help Build Better Health Systems_ - Behavioral Scientist,
905,Five ways behavioural science can transform climate change action,2019,UNEP,https://www.unep.org/news-and-stories/story/five-ways-behavioural-science-can-transform-climate-change-action,Five ways behavioural science can transform climate change action,
906,"What Makes People Act on Climate Change, according to Behavioral Science",2023,Andrea Thompson,https://www.scientificamerican.com/article/what-makes-people-act-on-climate-change-according-to-behavioral-science/,"What Makes People Act on Climate Change, according to Behavioral Science - Scientific American",
907,COVID Communication Often Failed: How Health Policy Makers Can Do Better,2022,Elizabeth Svoboda,https://www.scientificamerican.com/article/covid-communication-often-failed-how-health-policy-makers-can-do-better/,COVID Communication Often Failed_ How Health Policy Makers Can Do Better - Scientific American,
908,Racism in Health Care Isn’t Always Obvious,2020,"Joseph V. Sakran, Ebony Jade Hilton, Chethan Sathya",https://www.scientificamerican.com/article/racism-in-health-care-isnt-always-obvious/,Racism in Health Care Isn't Always Obvious - Scientific American,
908,Racism in Health Care Isn’t Always Obvious,2020,"Joseph V. Sakran, Ebony Jade Hilton, Chethan Sathya",https://www.scientificamerican.com/article/racism-in-health-care-isnt-always-obvious/,Racism in Health Care Isn_t Always Obvious - Scientific American,
909,The Health Risks of Gas Stoves Explained,2023,Tanya Lewis,https://www.scientificamerican.com/article/the-health-risks-of-gas-stoves-explained/,The Health Risks of Gas Stoves Explained - Scientific American,
910,Op-Ed: The Neurology of Handwashing,2021,"James Santiago Grisolia, MD ",https://www.medpagetoday.com/neurology/generalneurology/91824,Op-Ed_ The Neurology of Handwashing _ MedPage Today,
911,16 Ways To Promote Handwashing With Behavioral Science,2020,Aline Holzwarth,https://www.forbes.com/sites/alineholzwarth/2020/03/25/handwashing-with-behavioral-science/?sh=771a61f3768d,16 Ways To Promote Handwashing With Behavioral Science,
912,How to ... get one billion people to wash their hands,2014,"Myriam Sidibe
",https://www.theguardian.com/global-development-professionals-network/2014/jun/23/handwashing-life-saving-sanitation-development,How to ... get one billion people to wash their hands _ Global health innovation - global development professionals network _ The Guardian,
913,Op-Ed: How we can learn our way out of the pandemic,2020,"Steven Woloshin, Paul Glasziou, Susan Michie",https://www.latimes.com/opinion/story/2020-12-21/coronavirus-pandemic-public-health-randomized-trials-bessi,Op-Ed_ How we can learn our way out of the pandemic - Los Angeles Times,
914,Opinion: Sustained Handwashing Behaviour In India – A Necessity During COVID-19 Pandemic,2020,Abhishek Sharma,https://swachhindia.ndtv.com/opinion-sustained-handwashing-behaviour-in-india-a-necessity-during-covid-19-pandemic-51765/,Opinion_ Sustained Handwashing Behaviour In India - A Necessity During COVID Pandemic _ Blogs,
915,"Handwashing Campaigns Aren't Always Effective, but Behavioural Science Can Help",2020,Agata Slota,https://thepalladiumgroup.com/news/How-to-Make-People-Wash-Their-Hands-According-to-Behavioural-Science,"Palladium - Handwashing Campaigns Aren't Always Effective, but Behavioural Science Can Help",
916,Changes in transport behaviour during the Covid-19 crisis,2020,"Jeremy Sung, Yannick Monschauer",https://www.iea.org/articles/changes-in-transport-behaviour-during-the-covid-19-crisis,Changes in transport behaviour during the Covid-19 crisis – Analysis - IEA,
917,It pays to try public transport: Shifting commuter behaviour in Perth,2022,"Bowen J Fung, Caitlin Court",https://www.bi.team/blogs/it-pays-to-try-public-transport/,It pays to try public transport _ The Behavioural Insights Team,
918,Bring your own bag: Using behavioral insights to promote reusable bag use in US cities,2023,Marcos Pelenur,https://www.bi.team/blogs/bring-your-own-bag/,Bring your own bag _ The Behavioural Insights Team,
919,How can influencers encourage sustainable behaviours?,2023,"Kristina Londakova, Edwin Chan, Izzy Brennan, Toby Park",https://www.bi.team/blogs/how-can-influencers-encourage-sustainable-behaviours/,How can influencers encourage sustainable behaviours_ _ The Behavioural Insights Team,
920,Using behavioural science to redesign customer water bills,2022,"Andrew Schein, Tim Hardy, Izzy Brennan",https://www.bi.team/blogs/using-behavioural-science-to-redesign-customer-water-bills/,Using behavioural science to redesign customer water bills _ The Behavioural Insights Team,
921,How can behavioural insights help save energy in the workplace?,2022,"Jake Reynolds, Kristina Londakova, Andrew Schein",https://www.bi.team/blogs/how-can-behavioural-insights-help-save-energy-in-the-workplace/,How can behavioural insights help save energy in the workplace_ _ The Behavioural Insights Team,
922,Tackling Covid with videos in Bangladesh: three practical ways to apply behavioural insights to edutainment,2021,"Dan Brown, Dilhan Perera, Ben Szreter, Stewart Kettle",https://www.bi.team/blogs/tackling-covid-with-videos-in-bangladesh-three-practical-ways-to-apply-behavioural-insights-to-edutainment/,Tackling Covid with videos in Bangladesh_ three practical ways to apply behavioural insights to edutainment _ The Behavioural Insights Team,
923,"Data sharing and the importance of choice architecture in healthcare: new result
",2018,"Hugo Harper, Mark Egan, Pieter Cornel, Annabelle Wittels, Janna Ter Meer",https://www.bi.team/blogs/data-sharing-and-the-importance-of-choice-architecture-in-healthcare-new-results/,Data sharing and the importance of choice architecture in healthcare_ new results _ The Behavioural Insights Team,
924,Perception of Climate Change Solutions,2023,Maxwell Marion-Spencer,https://advanced-hindsight.com/blog/perception-of-climate-change-solutions/,Perception of Climate Change Solutions - Center for Advanced Hindsight,
925,Decrease friction and add fuel for health behavior change,2019,Aline Holzwarth,https://advanced-hindsight.com/blog/decrease-friction-and-add-fuel-for-health-behavior-change/,Decrease friction and add fuel for health behavior change - Center for Advanced Hindsight,
926,Using Social Norm Marketing Tactics for Effective Health Communications,2018,"Lindsay Juarez, Rachel Kahn",https://advanced-hindsight.com/blog/using-social-norm-marketing-tactics-for-effective-health-communications/,How to use Social Norm Marketing for Effective Health Communications,
927,By the Power of Default,2018,Center for Advanced Hindsight,https://advanced-hindsight.com/blog/by-the-power-of-default/,Using Behavioral Economics to Change Behavior _ By the power of default,
928,Why Vaccinations Are Underutilized – and How Behavioral Science Can Help,2018,"Catherine J. Berman, Jenna Clark, Julia O’Brien, Lindsay Juarez, Julie Miller, Rachel Kahn, Michelle Zong",https://advanced-hindsight.com/blog/why-vaccinations-are-underutilized-and-how-behavioral-science-can-help/,Why Vaccinations Are Underutilized_ How Behavioral Science Can Help_,
929,How to Better Communicate Health Risks and Improve Health Outcomes: Story-telling for More Impact,2018,"Lindsay Juarez, Julia O’Brien",https://advanced-hindsight.com/blog/better-communicate-health-risks-improve-health-outcomes-story-telling-impact/,How to Better Communicate Health Risks and Improve Health Outcomes,
930,How to reduce open waste burning in the Lao PDR: Insights from behavioral science,2023,"Ailin Tomio, Maurice Andres Rawlins, Kaysone Vongthavilay, Daniel Alejandro Pinzon Hernandez, Renos Vakis",https://blogs.worldbank.org/eastasiapacific/how-reduce-open-waste-burning-lao-pdr-insights-behavioral-science?cid=eap_tt_asiapacific_en_ext,How to reduce open waste burning in the Lao PDR_ Insights from behavioral science,
931,Tbilisi and Batumi: Hubs of household waste recycling boost – for a clean environment,2021,"Sesil Verdzadze, Elene Darjania",https://www.undp.org/georgia/blog/tbilisi-and-batumi-hubs-household-waste-recycling-boost-clean-environment,Tbilisi and Batumi_ Hubs of household waste recycling boost – for a clean environment _ United Nations Development Programme,
932,Making Sustainable Mobility Sustainable,2021,Miko Nacino,https://www.undp.org/philippines/blog/making-sustainable-mobility-sustainable,Making Sustainable Mobility Sustainable _ United Nations Development Programme,
933,How Behavioral Science Can Help Fight Climate Change,2022,"Susann Roth, Cass R. Sunstein",https://blogs.adb.org/blog/how-behavioral-science-can-help-fight-climate-change,How Behavioral Science Can Help Fight Climate Change _ Asian Development Blog,
934,Three Ways to Boost Sexual and Reproductive Health and Rights for Universal Health Care,2023,"Cebele Wong , Lewelyn Baguyo",https://blogs.adb.org/blog/three-ways-boost-sexual-and-reproductive-health-and-rights-universal-health-care,Three Ways to Boost Sexual and Reproductive Health and Rights for Universal Health Care _ Asian Development Blog,
935,Women Must Be at The Forefront of The Transition to A Low-Carbon Economy,2023,"Veronica Mendizabal Joffre, Pinky Serafica",https://blogs.adb.org/blog/women-must-be-forefront-transition-low-carbon-economy,Women Must Be at The Forefront of The Transition to A Low-Carbon Economy _ Asian Development Blog,
936,World Toilet Day: Improved Sanitation Saves Lives and Time,2022,Milan Thomas,https://blogs.adb.org/blog/world-toilet-day-improved-sanitation-saves-lives-and-time,World Toilet Day_ Improved Sanitation Saves Lives and Time _ Asian Development Blog,
937,Effective Energy Regulation and Incentives Can Help Fight Climate Change,2021,Kelly Hewitt,https://blogs.adb.org/blog/effective-energy-regulation-and-incentives-can-help-fight-climate-change,Effective Energy Regulation and Incentives Can Help Fight Climate Change _ Asian Development Blog,
938,"Handwashing Benefits are Huge, But It’s Tough to Change People’s Habits",2021,"Christian Walder, Bronwyn Powell",https://blogs.adb.org/blog/handwashing-benefits-are-huge-it-s-tough-change-people-s-habits,"Handwashing Benefits are Huge, But It’s Tough to Change People’s Habits _ Asian Development Blog",
939,Why Women Feel Unsafe on Public Transport,2016,Heather Allen,https://blogs.adb.org/blog/why-women-feel-unsafe-public-transport,Why Women Feel Unsafe on Public Transport _ Asian Development Blog,
